Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758923103.358	,4.640,0,1,0,NO,"""1023;1023""",FLOAT16;FLOAT16,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,6748,0.105,0.026,0.738,0.18,1.052,0.257,0.508,0.124,0.161,0.000
0,4294967295,1,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758925756.098	,2.660,2648.110000,1,0,NO,"""1023;1023""",FLOAT;FLOAT,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.098,3462,0.313,0.149,0.618,0.295,0.561,0.267,0.227,0.108,0.048,0.000
0,4294967295,2,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758927911.498	,4.080,2152.840000,1,0,NO,"""1023;1023""",INT32;INT32,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.579,5905,0.081,0.023,0.593,0.166,1.021,0.285,0.415,0.116,0.167,0.000
0,4294967295,3,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758930063.938	,2.180,2148.420000,1,0,NO,"""1023;1023""",INT8;INT8,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.683,2777,0.165,0.098,0.415,0.246,0.483,0.287,0.221,0.131,0.179,0.000
0,4294967295,4,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758932182.798	,4.020,2116.570000,1,0,NO,"""1023;1023""",UINT8;UINT8,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.501,5777,0.165,0.047,0.565,0.162,1.012,0.289,0.405,0.116,0.179,0.000
0,4294967295,5,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758934288.538	,2.040,2101.730000,1,0,NO,"""1023;1023""",BOOL;BOOL,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.524,2515,0.165,0.108,0.416,0.273,0.302,0.198,0.221,0.145,0.179,0.000
0,4294967295,6,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758936377.638	,4.420,2087.210000,1,0,NO,"""1023;1023""",DT_BF16;DT_BF16,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875,6394,0.361,0.093,0.758,0.196,0.827,0.213,0.404,0.104,0.073,0.000
0,4294967295,7,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758938507.738	,1.860,2125.580000,1,0,NO,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.325,2186,0.091,0.069,0.432,0.326,0.258,0.194,0.136,0.102,0.161,0.000
0,4294967295,8,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758940645.278	,4.120,2135.640000,1,0,NO,"""1024;1024""",FLOAT;FLOAT,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.538,5837,0.286,0.081,0.589,0.167,0.908,0.257,0.324,0.091,0.18,0.000
0,4294967295,9,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758942790.898	,1.900,2141.630000,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,2172,0.074,0.056,0.413,0.314,0.284,0.215,0.141,0.107,0.167,0.000
0,4294967295,10,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758944908.918	,3.780,2116.100000,1,0,NO,"""1024;1024""",INT8;INT8,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.199,5279,0.136,0.042,0.57,0.178,0.777,0.243,0.338,0.106,0.179,0.000
0,4294967295,11,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758947077.898	,1.960,2165.220000,1,0,NO,"""1024;1024""",UINT8;UINT8,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.378,2273,0.136,0.099,0.422,0.306,0.255,0.185,0.146,0.106,0.179,0.000
0,4294967295,12,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758949209.038	,4.500,2129.040000,1,0,NO,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.893,6423,0.136,0.035,0.756,0.194,0.762,0.196,0.35,0.09,0.179,0.000
0,4294967295,13,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758951339.918	,2.240,2126.500000,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.645,2715,0.327,0.199,0.469,0.285,0.272,0.165,0.151,0.092,0.172,0.000
0,4294967295,14,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758954213.218	,9.800,2871.010000,40,0,NO,"""131072;131072""",FLOAT16;FLOAT16,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55,432331,0.159,0.024,0.579,0.088,2.336,0.357,0.665,0.101,0.211,0.000
0,4294967295,15,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758958499.078	,11.860,4275.950000,40,0,NO,"""131072;131072""",FLOAT;FLOAT,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.171,605307,0.821,0.089,0.374,0.041,5.33,0.581,0.25,0.027,0.052,0.000
0,4294967295,16,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758962182.398	,9.760,3671.640000,40,0,NO,"""131072;131072""",INT32;INT32,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.536,431365,0.124,0.019,0.164,0.025,2.423,0.371,0.515,0.079,0.229,0.000
0,4294967295,17,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758964837.678	,7.460,2645.490000,40,0,NO,"""131072;131072""",INT8;INT8,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.802,316954,0.25,0.052,0.148,0.031,1.263,0.263,0.791,0.165,0.19,0.000
0,4294967295,18,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758967447.318	,7.620,2602.040000,40,0,NO,"""131072;131072""",UINT8;UINT8,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.727,311978,0.25,0.053,0.281,0.059,0.902,0.191,0.289,0.061,0.181,0.000
0,4294967295,19,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758970082.438	,7.400,2627.630000,40,0,NO,"""131072;131072""",BOOL;BOOL,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,326713,0.25,0.05,0.145,0.029,0.969,0.196,0.531,0.107,0.188,0.000
0,4294967295,20,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758973020.358	,10.660,2930.350000,40,0,NO,"""131072;131072""",DT_BF16;DT_BF16,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.158,472435,0.915,0.128,0.387,0.054,1.825,0.255,0.482,0.067,0.051,0.000
0,4294967295,21,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758979805.278	,14.320,6774.340000,40,0,NO,"""1000,999;1000,999""",FLOAT16;FLOAT16,ND;ND,"""1000,999""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.029,727910,0.836,0.076,0.209,0.019,6.22,0.564,2.649,0.24,0.164,0.000
0,4294967295,22,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193758991129.178	,25.480,11309.680000,40,0,NO,"""1000,999;1000,999""",FLOAT;FLOAT,ND;ND,"""1000,999""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.138,1461125,6.053,0.273,3.247,0.147,12.17,0.55,3.158,0.143,0.013,0.000
0,4294967295,23,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193759001740.918	,18.820,10586.270000,40,0,NO,"""1000,999;1000,999""",INT32;INT32,ND;ND,"""1000,999""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.56,1092930,0.935,0.056,0.241,0.015,11.961,0.722,3.391,0.205,0.173,0.000
0,4294967295,24,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193759008141.418	,11.740,6381.680000,40,0,NO,"""1000,999;1000,999""",INT8;INT8,ND;ND,"""1000,999""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.503,627216,1.393,0.147,0.158,0.017,3.976,0.418,2.969,0.312,0.196,0.000
0,4294967295,25,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193759014423.678	,10.820,6270.510000,40,0,NO,"""1000,999;1000,999""",UINT8;UINT8,ND;ND,"""1000,999""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.231,543262,1.393,0.169,0.159,0.019,4.095,0.497,0.578,0.07,0.198,0.000
0,4294967295,26,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193759020356.758	,10.220,5922.180000,40,0,NO,"""1000,999;1000,999""",BOOL;BOOL,ND;ND,"""1000,999""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279,546398,1.393,0.168,0.157,0.019,4.125,0.498,0.676,0.082,0.2,0.000
0,4294967295,27,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193759027859.638	,25.760,7492.780000,40,0,NO,"""1000,999;1000,999""",DT_BF16;DT_BF16,ND;ND,"""1000,999""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.992,1517445,6.774,0.295,2.905,0.126,10.055,0.437,3.716,0.162,0.014,0.000
0,4294967295,28,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762193759034498.418	,1.680,6612.990000,1,0,NO,""";""",FLOAT16;FLOAT16,ND;ND,"""""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199,1978,0.095,0.079,0.231,0.193,0.377,0.314,0.265,0.221,0.172,0.000
